step,time,v,gamma,psi,alt,lon,lat,cl,cd,mach,temperature,alpha
89,445,64.85171044,-45.93976711,38.16869691,8948.274329,180.9566624,4.281260895,1.085081,1.154326,0.213283675,230.100576,-45.93976711
90,450,63.95396134,-46.00011187,38.1259191,8714.438771,180.9582614,4.282513341,1.085081,1.154326,0.209640888,231.6183629,-46.00011187
91,455,63.08323638,-46.03538671,38.08292011,8483.629367,180.9598382,4.28374644,1.085081,1.154326,0.206121115,233.1165104,-46.03538671
92,460,61.20888642,-45.82215111,38.03984431,8258.857605,180.9613848,4.284954044,1.119365,1.206277,0.199373732,234.575768,-45.82215111
93,465,60.15731927,-46.1562726,37.99629103,8038.639997,180.962893,4.286129902,1.119365,1.206277,0.195354209,236.0051466,-46.1562726
94,470,59.41030622,-46.41223161,37.95217425,7820.418655,180.9643722,4.287281226,1.119365,1.206277,0.192352035,237.4215184,-46.41223161
95,475,58.71880826,-46.51995147,37.90768791,7604.145213,180.9658299,4.288414119,1.119365,1.206277,0.189553639,238.8252708,-46.51995147
96,480,58.02126662,-46.55124761,37.86296895,7390.18718,180.9672698,4.289531324,1.119365,1.206277,0.186759657,240.2140155,-46.55124761
97,485,57.32334215,-46.56206628,37.81806667,7178.728073,180.9686929,4.290633711,1.119365,1.206277,0.183988282,241.5865471,-46.56206628
98,490,56.17056816,-46.00234212,37.77336157,6971.967544,180.9701025,4.291723866,1.156185,1.225845,0.179789503,242.9288171,-46.00234212
99,495,55.32899363,-46.00349762,37.72867485,6769.588508,180.9714939,4.292798226,1.156185,1.225845,0.176618921,244.2424539,-46.00349762
100,500,54.6710015,-46.09904343,37.68371547,6569.648521,180.9728661,4.293856008,1.156185,1.225845,0.174056707,245.5401976,-46.09904343
101,505,54.074222,-46.15768174,37.63849851,6371.699951,180.9742217,4.294899308,1.156185,1.225845,0.17170808,246.8250109,-46.15768174
102,510,53.49231348,-46.18237947,37.59307763,6175.760856,180.9755625,4.295929558,1.156185,1.225845,0.169424357,248.0967866,-46.18237947
103,515,52.91904589,-46.19476462,37.54747933,5981.870943,180.9768893,4.296947403,1.156185,1.225845,0.167185177,249.3552638,-46.19476462
104,520,52.35758912,-46.20550675,37.50171012,5790.013841,180.9782026,4.297953172,1.156185,1.225845,0.164999895,250.6005457,-46.20550675
105,525,50.95915414,-46.06951156,37.45583063,5602.621898,180.9794939,4.298940472,1.188464,1.276602,0.16020448,251.8170741,-46.06951156
106,530,50.31874931,-46.42652077,37.40937711,5418.002365,180.9807569,4.299904535,1.188464,1.276602,0.157816152,253.0153346,-46.42652077
107,535,49.86405948,-46.60877404,37.36241458,5234.418555,180.9820013,4.300852845,1.188464,1.276602,0.156023145,254.2068648,-46.60877404
108,540,49.406905,-46.65161825,37.31518276,5052.178806,180.9832331,4.30178986,1.188464,1.276602,0.15423431,255.3897003,-46.65161825
