step,time,v,gamma,psi,alt,lon,lat,cl,cd,mach,temperature,alpha
39,195,920.8982655,-12.81590622,39.75121061,36596.85598,180.6330311,4.015388182,0.2628928,1.451835,2.897532061,251.3951398,-12.81590622
40,200,813.0004044,-14.28618325,39.74319649,35575.53354,180.6623032,4.039671178,0.2948996,1.455276,2.57372252,248.3408399,-14.28618325
41,205,717.542361,-15.91482044,39.73405738,34573.24525,180.6879714,4.060957366,0.3306896,1.456818,2.285363945,245.3434203,-15.91482044
42,210,633.7523727,-17.70885656,39.72371252,33590.79134,180.7104475,4.079589574,0.370853,1.457127,2.0306898,242.405288,-17.70885656
43,215,560.7291062,-19.66646331,39.71207061,32628.65173,180.7301148,4.095886655,0.4158736,1.456467,1.80746583,239.5278829,-19.66646331
44,220,497.5771042,-21.77443244,39.69903308,31687.17751,180.7473264,4.110142344,0.4658705,1.453417,1.61341113,236.7122573,-21.77443244
45,225,443.3947896,-24.00793177,39.68449876,30766.61534,180.7624058,4.122625706,0.5200532,1.446668,1.446157519,233.9591521,-24.00793177
46,230,397.2535522,-26.33333269,39.66836871,29867.05221,180.7756467,4.133580895,0.5763362,1.435621,1.303179587,231.2688332,-26.33333269
47,235,357.7480011,-29.07130183,39.65043651,28983.78758,180.7872848,4.143204095,0.5763362,1.435621,1.180342386,228.6275136,-29.07130183
48,240,325.4322242,-31.32314687,39.63065716,28118.2302,180.797572,4.15170448,0.6992001,1.391262,1.07985163,226.0388038,-31.32314687
49,245,297.38809,-33.83871823,39.60902416,27273.25958,180.8067191,4.1592571,0.6992001,1.391262,0.992357992,223.5118061,-33.83871823
50,250,276.5358653,-35.99631062,39.58548794,26444.54019,180.8149276,4.166029306,0.7626622,1.280692,0.927934822,221.0334757,-35.99631062
51,255,257.5162096,-38.13317979,39.5601149,25632.45818,180.8223642,4.172159221,0.7626622,1.280692,0.868899872,218.6048253,-38.13317979
52,260,247.8377496,-40.44755384,39.5327436,24823.22727,180.8291945,4.177784143,0.7017763,1.040873,0.839929928,216.69,-40.44755384
53,265,237.0076217,-42.2088134,39.50351185,24014.23048,180.835556,4.183017618,0.7017763,1.040873,0.803226284,216.69,-42.2088134
54,270,225.7450931,-43.59737743,39.47269848,23218.3838,180.8414821,4.187887719,0.7017763,1.040873,0.76505722,216.69,-43.59737743
55,275,219.3516954,-44.27485711,39.44074925,22437.22894,180.8470903,4.192491307,0.7219039,0.8989144,0.743389794,216.69,-44.27485711
56,280,211.0018663,-44.44309628,39.40828401,21676.57033,180.8524778,4.19690867,0.7219039,0.8989144,0.715091961,216.69,-44.44309628
57,285,201.3298813,-44.32473762,39.37564691,20947.84641,180.8576407,4.201136946,0.7219039,0.8989144,0.6823133,216.69,-44.32473762
58,290,190.7358225,-43.73062086,39.34317546,20259.76269,180.8625829,4.205179783,0.7522432,0.9041272,0.646409701,216.69,-43.73062086
59,295,180.1398258,-43.28657246,39.31098073,19615.32064,180.867301,4.209034821,0.7522432,0.9041272,0.610499535,216.69,-43.28657246
60,300,168.0446115,-42.84721206,39.2789538,19016.03402,180.8717644,4.212677569,0.7793618,0.957151,0.569508473,216.69,-42.84721206
61,305,157.7423207,-42.95361745,39.24676092,18456.98895,180.8759535,4.216092578,0.7793618,0.957151,0.534593686,216.69,-42.95361745
62,310,147.5549062,-43.06740365,39.21415228,17932.36796,180.879874,4.219284856,0.8148047,1.000612,0.500068218,216.69,-43.06740365
63,315,139.4576878,-43.69627356,39.18083505,17435.4426,180.8835386,4.222265319,0.8148047,1.000612,0.47262649,216.69,-43.69627356
64,320,132.2989321,-43.99794497,39.14675913,16960.81927,180.8869844,4.225064376,0.8565647,1.017758,0.448365242,216.69,-43.99794497
65,325,126.4367508,-44.5737008,39.11193544,16505.11488,180.8902422,4.227707522,0.8565647,1.017758,0.428498125,216.69,-44.5737008
66,330,121.5278528,-45.22400412,39.07620802,16063.42177,180.8933333,4.230212237,0.8565647,1.017758,0.411861715,216.69,-45.22400412
67,335,117.0688762,-45.01919774,39.04002026,15636.68466,180.8962997,4.232612788,0.9079803,1.017611,0.396750103,216.69,-45.01919774
68,340,112.8735321,-44.99080627,39.00370511,15226.28976,180.8991656,4.234929026,0.9079803,1.017611,0.38253195,216.69,-44.99080627
69,345,109.0189532,-45.09479519,38.96709887,14829.98293,180.9019306,4.237160858,0.9079803,1.017611,0.369468661,216.69,-45.09479519
70,350,104.5280303,-44.93954139,38.93027532,14449.12581,180.9045948,4.239308462,0.9374295,1.050731,0.354248782,216.69,-44.93954139
71,355,100.8224131,-45.14032021,38.89311043,14082.55543,180.9071566,4.241370725,0.9374295,1.050731,0.341690329,216.69,-45.14032021
72,360,97.69472379,-45.46322194,38.85538836,13726.41722,180.9096229,4.243353533,0.9374295,1.050731,0.331090491,216.69,-45.46322194
73,365,94.27646839,-45.29372499,38.81734731,13381.7766,180.9120071,4.24526773,0.9719663,1.07263,0.319505916,216.69,-45.29372499
74,370,91.37649908,-45.41294864,38.77903463,13048.48941,180.9143146,4.24711783,0.9719663,1.07263,0.309677829,216.69,-45.41294864
75,375,88.8631404,-45.62772367,38.74027429,12723.88246,180.9165494,4.248907112,0.9719663,1.07263,0.301159977,216.69,-45.62772367
76,380,86.59999624,-45.83436464,38.70104051,12406.67611,180.9187181,4.250641073,0.9719663,1.07263,0.293490111,216.69,-45.83436464
77,385,83.74208774,-45.44893341,38.66169154,12099.55559,180.9208294,4.252326773,1.010997,1.099133,0.283804569,216.69,-45.44893341
78,390,81.36210703,-45.47798082,38.62221626,11802.63475,180.9228826,4.25396378,1.010997,1.099133,0.27573874,216.69,-45.47798082
79,395,79.3420996,-45.64786283,38.58235323,11513.00795,180.9248785,4.255552803,1.010997,1.099133,0.268892871,216.69,-45.64786283
80,400,77.53889191,-45.81794804,38.54205628,11229.38098,180.9268221,4.257098039,1.010997,1.099133,0.262781743,216.69,-45.81794804
81,405,75.00311044,-45.56011629,38.50158953,10954.30155,180.9287155,4.258601151,1.044721,1.134669,0.25395993,217.0792033,-45.56011629
82,410,73.25155443,-45.8146786,38.46077703,10686.72937,180.9305557,4.260059905,1.044721,1.134669,0.247042835,218.8160799,-45.8146786
83,415,71.95254626,-46.12187309,38.419398,10423.19062,180.93235,4.261480155,1.044721,1.134669,0.241718922,220.5266618,-46.12187309
84,420,70.82546786,-46.32143594,38.37754306,10162.87549,180.9341076,4.262869266,1.044721,1.134669,0.237026288,222.2163152,-46.32143594
85,425,69.74568739,-46.42137971,38.33534849,9905.938308,180.9358346,4.264232151,1.044721,1.134669,0.232541678,223.8840636,-46.42137971
86,430,68.12732893,-45.82786365,38.29330189,9655.330708,180.9375388,4.265574984,1.085477,1.15479,0.226324978,225.5110452,-45.82786365
87,435,66.8101091,-45.75634123,38.25134845,9411.295348,180.9392165,4.266894998,1.085477,1.15479,0.221173594,227.0951609,-45.75634123
88,440,65.73509719,-45.84862968,38.20915225,9171.424118,180.9408648,4.268189915,1.085477,1.15479,0.216872606,228.6521514,-45.84862968
89,445,64.78594571,-45.94311304,38.16666048,8934.78527,180.9424863,4.269461772,1.085477,1.15479,0.213026862,230.1881344,-45.94311304
90,450,63.89045219,-46.00317673,38.12390989,8701.171655,180.9440836,4.270712836,1.085477,1.15479,0.209393781,231.7044805,-46.00317673
91,455,63.02173326,-46.03821394,38.080939,8470.577928,180.9456588,4.271944604,1.085477,1.15479,0.20588275,233.2012279,-46.03821394
92,460,61.15356684,-45.82447422,38.03789265,8246.005928,180.9472039,4.273150969,1.119708,1.206547,0.199158132,234.6591877,-45.82447422
93,465,60.10491151,-46.15707387,37.99437152,8025.977424,180.9487108,4.274325704,1.119708,1.206547,0.195150041,236.0873388,-46.15707387
94,470,59.35944445,-46.41181018,37.95028941,7807.943862,180.9501886,4.275475985,1.119708,1.206547,0.192154596,237.5024919,-46.41181018
95,475,58.66916939,-46.51890837,37.90583944,7591.85719,180.9516452,4.276607885,1.119708,1.206547,0.189361779,238.905032,-46.51890837
96,480,57.97289768,-46.54999774,37.86115785,7378.082945,180.9530839,4.277724133,1.119708,1.206547,0.186573457,240.2925837,-46.54999774
97,485,57.27631624,-46.56077793,37.81629359,7166.803193,180.9545059,4.278825591,1.119708,1.206547,0.183807901,241.663951,-46.56077793
98,490,56.12348824,-46.00289559,37.77162574,6960.216971,180.9559144,4.279914806,1.156494,1.226234,0.179610617,243.0050892,-46.00289559
99,495,55.28366617,-46.00570294,37.72697431,6758.000806,180.9573046,4.280988206,1.156494,1.226234,0.176447062,244.3176682,-46.00570294
100,500,54.62736342,-46.10168456,37.68204975,6558.214024,180.9586756,4.282045047,1.156494,1.226234,0.173891497,245.6144171,-46.10168456
101,505,54.03187852,-46.1602109,37.63686813,6360.413237,180.96003,4.283087436,1.156494,1.226234,0.171548165,246.898271,-46.1602109
102,510,53.4510471,-46.1847486,37.59148333,6164.61839,180.9613697,4.284116804,1.156494,1.226234,0.169268985,248.1691104,-46.1847486
103,515,52.87878692,-46.19704773,37.54592179,5970.869488,180.9626955,4.285133792,1.156494,1.226234,0.167034073,249.4266722,-46.19704773
104,520,52.31831164,-46.20774996,37.5001899,5779.150074,180.9640077,4.286138726,1.156494,1.226234,0.164852924,250.6710603,-46.20774996
105,525,50.92359588,-46.07079656,37.45434935,5591.887003,180.9652981,4.28712525,1.188754,1.276839,0.160070549,251.8867516,-46.07079656
106,530,50.28447256,-46.42642477,37.40793768,5407.392718,180.9665602,4.288088609,1.188754,1.276839,0.157687191,253.0841992,-46.42642477
107,535,49.83039267,-46.60791368,37.36101907,5223.934988,180.9678038,4.289036256,1.188754,1.276839,0.155896939,254.2749113,-46.60791368
108,540,49.37384908,-46.65052605,37.31383226,5041.820776,180.9690348,4.289972631,1.188754,1.276839,0.154110835,255.4569319,-46.65052605
0,0,11032.05312,-6.48,39.82,121920,171.96,-3.19,0.1474087,1.466344,24.45512488,506.4808,-6.48
1,5,11033.26567,-6.202413344,39.79939113,115766.1516,172.335661,-2.877344315,0.1474087,1.466344,24.9100134,488.2590437,-6.202413344
2,10,11031.93043,-5.923468334,39.78070346,109881.2634,172.7118739,-2.564361639,0.1474087,1.466344,25.36851859,470.6552224,-5.923468334
3,15,11026.75304,-5.642706402,39.76395113,104268.5955,173.0885093,-2.251147897,0.1474087,1.466344,25.82136671,453.8652292,-5.642706402
4,20,11015.72216,-5.360469603,39.7491475,98932.0447,173.465381,-1.937845815,0.1285567,1.471493,26.26153968,437.900706,-5.360469603
5,25,10995.95853,-5.075248326,39.73630467,93876.75601,173.842219,-1.624667437,0.1285567,1.471493,26.67917938,422.7769683,-5.075248326
6,30,10963.24403,-4.785826867,39.72543248,89110.1771,174.2186323,-1.311925309,0.1285567,1.471493,27.06010414,408.5162177,-4.785826867
7,35,10911.68069,-4.490523946,39.71653629,84642.35247,174.5940556,-1.000076194,0.1285567,1.471493,27.38461051,395.1484006,-4.490523946
8,40,10833.41642,-4.194953636,39.70961169,80483.03625,174.9676845,-0.689775365,0.1019084,1.471191,27.62674069,382.7027992,-4.194953636
9,45,10718.56835,-3.892173214,39.70463973,76643.56384,175.3384059,-0.381934163,0.1019084,1.471191,27.75365482,371.2130762,-3.892173214
10,50,10555.86433,-3.580473029,39.70158129,73140.44398,175.7047377,-0.077770506,0.1019084,1.471191,27.72672572,360.7285324,-3.580473029
11,55,10334.21204,-3.258597708,39.70036667,69991.30461,176.0648018,0.221168609,0.1019084,1.471191,27.50629956,351.3018749,-3.258597708
12,60,10044.18881,-2.957816672,39.70087962,67198.95302,176.4163491,0.513027534,0.07380265,1.476543,27.05822523,342.9424049,-2.957816672
13,65,9683.473516,-2.657397166,39.70295605,64756.95947,176.7569154,0.795770332,0.07380265,1.476543,26.36911208,335.6304795,-2.657397166
14,70,9256.57914,-2.362048181,39.70639401,62661.32438,177.0840705,1.067387614,0.07380265,1.476543,25.44566406,329.3544427,-2.362048181
15,75,8776.222357,-2.078471112,39.71095796,60896.63759,177.395683,1.326115358,0.07380265,1.476543,24.32115475,324.0685765,-2.078471112
16,80,8257.800923,-1.878263614,39.71637997,59412.62612,177.6901153,1.570597403,0.04689361,1.485582,23.04302988,319.6242479,-1.878263614
17,85,7723.386074,-1.712490349,39.72239192,58149.84533,177.9663975,1.800029221,0.04689361,1.485582,21.68040777,315.8425697,-1.712490349
18,90,7190.423834,-1.610916587,39.72875378,57059.99716,178.2242586,2.014184816,0.03836021,1.483904,20.28939925,312.5796294,-1.610916587
19,95,6670.988987,-1.556282362,39.73525305,56095.25721,178.463947,2.213268319,0.03836021,1.483904,18.91125374,309.6919178,-1.556282362
20,100,6174.29138,-1.563602288,39.7417111,55215.11152,178.6860852,2.39779339,0.03468908,1.481359,17.57808982,307.0583776,-1.563602288
21,105,5703.86467,-1.625473832,39.74797861,54383.51402,178.8915165,2.568456915,0.03468908,1.481359,16.30497152,304.5708984,-1.625473832
22,110,5258.909014,-1.739217977,39.75393283,53573.95928,179.0811302,2.725993954,0.03656335,1.490228,15.09313274,302.1499999,-1.739217977
23,115,4842.212936,-1.913761522,39.75947186,52764.24597,179.2558529,2.871170487,0.03656335,1.490228,13.95321676,299.7292677,-1.913761522
24,120,4454.54141,-2.131178615,39.76451779,51939.01233,179.4166715,3.004802992,0.04299711,1.481213,12.88926161,297.262408,-2.131178615
25,125,4091.387533,-2.415330035,39.76900494,51086.39873,179.5645039,3.127650959,0.04299711,1.481213,11.88954381,294.7141036,-2.415330035
26,130,3749.110297,-2.730323757,39.77287729,50201.02216,179.7001272,3.240357411,0.05493848,1.489184,10.94413518,292.06775,-2.730323757
27,135,3428.08978,-3.121003169,39.77608575,49279.47468,179.8242641,3.343520373,0.05493848,1.489184,10.05455496,289.3135257,-3.121003169
28,140,3128.259262,-3.535986829,39.77859352,48321.66093,179.9376428,3.437742902,0.07097362,1.480879,9.220891267,286.4506051,-3.535986829
29,145,2846.515504,-4.038113113,39.78036697,47328.76185,180.0409336,3.523580356,0.07097362,1.480879,8.434223558,283.4829596,-4.038113113
30,150,2582.540438,-4.555958783,39.78137862,46305.1168,180.1347503,3.601541668,0.09198535,1.477124,7.693702287,280.4229635,-4.555958783
31,155,2335.043626,-5.178043493,39.78160176,45255.32683,180.2196776,3.672111743,0.09198535,1.477124,6.995631111,277.2849284,-5.178043493
32,160,2102.556584,-5.806616511,39.78101406,44186.58566,180.296254,3.735737388,0.1190342,1.484711,6.335725836,274.0896906,-5.806616511
33,165,1886.389161,-6.566026727,39.77959143,43105.17553,180.3650161,3.792864497,0.1190342,1.484711,5.718162836,270.8567202,-6.566026727
34,170,1687.922064,-7.336409215,39.77731533,42016.83757,180.4265495,3.843979415,0.1500755,1.472124,5.1475703,267.6025671,-7.336409215
35,175,1505.064869,-8.272845169,39.77416112,40926.23197,180.4814228,3.889554927,0.1500755,1.472124,4.618142444,264.3418081,-8.272845169
36,180,1338.970625,-9.217616315,39.77010552,39838.54138,180.5301936,3.930054762,0.1882053,1.45938,4.134010184,261.0893048,-9.217616315
