TITLE="fun3d_case_title"
VARIABLES="Iteration" "R_1" "R_2" "R_3" "R_4" "R_5" "C_L" "C_D" "C_M_x" "C_M_y" "C_M_z" "Wall Time" "C_x" "C_y" "C_z" "C_Lp" "C_Dp" "C_Lv" "C_Dv" "C_M_xp" "C_M_yp" "C_M_zp" "C_M_xv" "C_M_yv" "C_M_zv" "C_xp" "C_yp" "C_zp" "C_xv" "C_yv" "C_zv"
ZONE  I=2500 F=POINT
1  0.8566512341E-01  0.1822756833E+01  0.2004579008E-14  0.7232220071E-01  0.1963672849E+02  0.1282615095E-04  0.3279791637E-03 -0.3871382361E-09  0.4963344247E-06 -0.4486126508E-06  0.7110000000E+00  0.3282298082E-03 -0.1010354160E-06 -0.1870531182E-06  0.1282615095E-04  0.3279791637E-03  0.0000000000E+00  0.0000000000E+00 -0.3871382361E-09  0.4963344247E-06 -0.4486126508E-06  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.3282298082E-03 -0.1010354160E-06 -0.1870531182E-06  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
2  0.8501172202E-01  0.1808720424E+01  0.4147893928E-04  0.7176920162E-01  0.1948635278E+02  0.2559352048E-04  0.6547891658E-03 -0.8094009711E-09  0.1016681271E-05 -0.9535249531E-06  0.7520000000E+00  0.6552890435E-03 -0.2126575300E-06 -0.3864886560E-06  0.2559352048E-04  0.6547891658E-03  0.0000000000E+00  0.0000000000E+00 -0.8094009711E-09  0.1016681271E-05 -0.9535249531E-06  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.6552890435E-03 -0.2126575300E-06 -0.3864886560E-06  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
3  0.8442027939E-01  0.1795999143E+01  0.8378484483E-04  0.7126852716E-01  0.1935030790E+02  0.3831121309E-04  0.9806759090E-03 -0.1268172360E-08  0.1564659628E-05 -0.1518014387E-05  0.7991000000E+00  0.9814237763E-03 -0.3354063181E-06 -0.5989583676E-06  0.3831121309E-04  0.9806759090E-03  0.0000000000E+00  0.0000000000E+00 -0.1268172360E-08  0.1564659628E-05 -0.1518014387E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.9814237763E-03 -0.3354063181E-06 -0.5989583676E-06  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
4  0.8388569063E-01  0.1784483832E+01  0.1269976063E-03  0.7081586345E-01  0.1922740413E+02  0.5098913405E-04  0.1305905206E-02 -0.1764923085E-08  0.2143599009E-05 -0.2146402866E-05  0.8380000000E+00  0.1306900003E-02 -0.4701224888E-06 -0.8251032179E-06  0.5098913405E-04  0.1305905206E-02  0.0000000000E+00  0.0000000000E+00 -0.1764923085E-08  0.2143599009E-05 -0.2146402866E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.1306900003E-02 -0.4701224888E-06 -0.8251032179E-06  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
5  0.8340308835E-01  0.1774070441E+01  0.1711932090E-03  0.7040709761E-01  0.1911650823E+02  0.6363787215E-04  0.1630762566E-02 -0.2301087386E-08  0.2757017386E-05 -0.2842902056E-05  0.8830000000E+00  0.1632003428E-02 -0.6176000636E-06 -0.1065662132E-05  0.6363787215E-04  0.1630762566E-02  0.0000000000E+00  0.0000000000E+00 -0.2301087386E-08  0.2757017386E-05 -0.2842902056E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.1632003428E-02 -0.6176000636E-06 -0.1065662132E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
6  0.8296786605E-01  0.1764660525E+01  0.2164444728E-03  0.7003833745E-01  0.1901654869E+02  0.7626876037E-04  0.1955550956E-02 -0.2878047998E-08  0.3408560752E-05 -0.3611611760E-05  0.9180000000E+00  0.1957037230E-02 -0.7786292972E-06 -0.1321322487E-05  0.7626876037E-04  0.1955550956E-02  0.0000000000E+00  0.0000000000E+00 -0.2878047998E-08  0.3408560752E-05 -0.3611611760E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.1957037230E-02 -0.7786292972E-06 -0.1321322487E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
7  0.8257569437E-01  0.1756161578E+01  0.2628213388E-03  0.6970592525E-01  0.1892651946E+02  0.8889380908E-04  0.2280590654E-02 -0.3497242449E-08  0.4101979712E-05 -0.4456537667E-05  0.9560000000E+00  0.2282321911E-02 -0.9539259242E-06 -0.1592781169E-05  0.8889380908E-04  0.2280590654E-02  0.0000000000E+00  0.0000000000E+00 -0.3497242449E-08  0.4101979712E-05 -0.4456537667E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.2282321911E-02 -0.9539259242E-06 -0.1592781169E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
8  0.8222253086E-01  0.1748487240E+01  0.3103916281E-03  0.6940644598E-01  0.1884548206E+02  0.1015255783E-03  0.2606219380E-02 -0.4160337133E-08  0.4841283053E-05 -0.5382465736E-05  0.9960000000E+00  0.2608195422E-02 -0.1144455383E-05 -0.1880877309E-05  0.1015255783E-03  0.2606219380E-02  0.0000000000E+00  0.0000000000E+00 -0.4160337133E-08  0.4841283053E-05 -0.5382465736E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.2608195422E-02 -0.1144455383E-05 -0.1880877309E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
9  0.8190462390E-01  0.1741557373E+01  0.3592220034E-03  0.6913673054E-01  0.1877256634E+02  0.1141773385E-03  0.2932790789E-02 -0.4868720364E-08  0.5629946650E-05 -0.6394357528E-05  0.1038000000E+01  0.2935011669E-02 -0.1351245577E-05 -0.2186371984E-05  0.1141773385E-03  0.2932790789E-02  0.0000000000E+00  0.0000000000E+00 -0.4868720364E-08  0.5629946650E-05 -0.6394357528E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.2935011669E-02 -0.1351245577E-05 -0.2186371984E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
10  0.8161851170E-01  0.1735298030E+01  0.4093779417E-03  0.6889385499E-01  0.1870697017E+02  0.1268627918E-03  0.3260674894E-02 -0.5624016579E-08  0.6472522100E-05 -0.7496873921E-05  0.1078000000E+01  0.3263140914E-02 -0.1575117663E-05 -0.2510243417E-05  0.1268627918E-03  0.3260674894E-02  0.0000000000E+00  0.0000000000E+00 -0.5624016579E-08  0.6472522100E-05 -0.7496873921E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.3263140914E-02 -0.1575117663E-05 -0.2510243417E-05  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
